52,22.9,8.6,11.0,12.3,15.4,13.6,8.3,7.9
53,19.5,7.7,10.6,11.4,13.2,14.1,13.1,10.4
54,22.2,12.7,12.2,11.7,14.1,12.2,7.7,7.1
55,21.4,8.5,12.0,12.6,15.2,13.8,8.7,7.8
56,23.9,9.6,14.2,12.1,15.0,12.7,6.4,6.1
57,24.5,9.2,13.3,13.0,14.7,11.7,7.0,6.6
58,20.0,21.5,14.4,10.8,12.2,10.1,5.6,5.4
59,21.6,7.5,12.1,12.9,15.4,14.6,8.7,7.3
60,23.3,11.1,15.1,13.1,14.1,11.8,6.8,4.7
61,25.9,8.9,14.5,15.7,14.4,10.5,5.8,4.3
62,20.4,14.0,13.6,12.1,14.0,12.2,7.5,6.2
63,22.3,9.5,12.5,13.1,14.7,13.1,8.1,6.6
64,24.4,9.7,13.5,12.4,14.8,12.7,7.0,5.5
65,25.1,9.4,14.4,14.0,14.6,11.1,6.1,5.3
66,21.0,14.7,12.1,10.6,13.1,13.1,7.8,7.6
67,24.9,9.5,12.9,13.3,15.3,11.9,6.6,5.7
68,27.6,12.3,16.2,12.8,12.2,9.2,5.6,4.0
69,22.9,10.1,12.0,13.6,14.5,12.4,8.6,5.9
70,23.2,8.4,11.7,12.8,15.7,13.1,7.6,7.6
71,24.7,8.7,12.1,12.5,14.3,13.2,8.3,6.2
72,21.0,27.4,14.6,10.1,10.2,8.0,4.7,3.9
73,25.9,10.7,13.8,13.1,15.1,11.2,5.8,4.3
74,21.1,20.5,14.9,11.4,12.4,10.1,5.2,4.5
75,23.5,11.9,13.8,13.2,14.3,11.8,6.6,4.9
76,25.4,11.2,14.2,12.5,13.8,11.2,6.5,5.3
77,25.2,7.9,12.7,13.6,14.3,12.2,7.8,6.2
78,24.8,10.4,14.7,14.1,14.5,11.0,5.9,4.7
79,25.9,9.9,13.0,12.1,14.3,12.0,7.0,5.8
80,17.8,23.0,12.2,10.0,12.5,12.4,6.3,5.7
81,22.3,10.2,13.8,12.0,15.9,11.8,7.8,6.2
82,18.8,11.9,11.6,12.6,14.3,13.2,9.4,8.3
83,27.8,9.4,14.9,15.0,14.2,9.8,5.1,3.7
84,28.1,9.4,13.0,14.3,13.7,10.5,6.6,4.4
85,24.4,8.1,11.9,11.8,14.5,13.0,8.5,7.8
86,21.3,8.1,10.3,12.1,15.7,14.5,9.6,8.3
87,23.6,8.7,12.6,12.2,14.8,13.1,7.8,7.2
88,23.0,10.1,12.1,12.2,14.8,12.8,7.8,7.1
89,23.8,8.4,12.3,13.5,15.3,12.6,8.3,6.0
90,22.8,9.3,11.7,11.6,14.7,13.5,8.2,8.2
91,18.9,9.0,10.3,11.4,15.0,14.3,10.9,10.2
92,24.9,8.6,15.3,14.8,14.8,11.4,5.7,4.4
93,26.0,8.7,15.1,14.0,14.1,11.0,5.9,5.2
94,24.3,8.6,11.8,13.8,15.7,12.6,6.9,6.3
95,23.9,8.1,12.1,12.9,14.6,13.0,8.7,6.7
96,24.9,11.0,12.3,12.7,14.3,11.3,7.8,5.7
97,23.8,10.6,11.9,11.7,14.6,12.2,7.6,7.7
98,20.5,11.5,11.8,11.3,15.3,14.0,7.8,7.7
