Table with row headers in column A and column headers in rows 6 through 973. Leading dots indicate subparts.,,,,,,
CBSA Report Chapter 2 Data,,,,,,
,,,,,,
"CBSA
Code",Geographic area,Legal/statistical area description,Population,,"Change, 2000 to 2010",
,,,2010 Census,Census 2000,Number,Percent
25340,"Harriman, TN",Micropolitan Statistical Area,"54,181","51,910","2,271",4.4
25380,"Harrisburg, IL",Micropolitan Statistical Area,"24,913","26,733","-1,820",-6.8
25460,"Harrison, AR",Micropolitan Statistical Area,"45,233","42,556","2,677",6.3
25580,"Hastings, NE",Micropolitan Statistical Area,"37,906","38,190",-284,-0.7
25660,"Havre, MT",Micropolitan Statistical Area,"16,096","16,673",-577,-3.5
25700,"Hays, KS",Micropolitan Statistical Area,"28,452","27,507",945,3.4
25720,"Heber, UT",Micropolitan Statistical Area,"23,530","15,215","8,315",54.7
25740,"Helena, MT",Micropolitan Statistical Area,"74,801","65,765","9,036",13.7
25760,"Helena-West Helena, AR",Micropolitan Statistical Area,"21,757","26,445","-4,688",-17.7
25780,"Henderson, NC",Micropolitan Statistical Area,"45,422","42,954","2,468",5.7
25820,"Hereford, TX",Micropolitan Statistical Area,"19,372","18,561",811,4.4
25900,"Hilo, HI",Micropolitan Statistical Area,"185,079","148,677","36,402",24.5
25940,"Hilton Head Island-Beaufort, SC",Micropolitan Statistical Area,"187,010","141,615","45,395",32.1
26020,"Hobbs, NM",Micropolitan Statistical Area,"64,727","55,511","9,216",16.6
26140,"Homosassa Springs, FL",Micropolitan Statistical Area,"141,236","118,085","23,151",19.6
26220,"Hood River, OR",Micropolitan Statistical Area,"22,346","20,411","1,935",9.5
26260,"Hope, AR",Micropolitan Statistical Area,"31,606","33,542","-1,936",-5.8
26340,"Houghton, MI",Micropolitan Statistical Area,"38,784","38,317",467,1.2
26460,"Hudson, NY",Micropolitan Statistical Area,"63,096","63,094",2,0.0
26480,"Humboldt, TN",Micropolitan Statistical Area,"49,683","48,152","1,531",3.2
26500,"Huntingdon, PA",Micropolitan Statistical Area,"45,913","45,586",327,0.7
26540,"Huntington, IN",Micropolitan Statistical Area,"37,124","38,075",-951,-2.5
26660,"Huntsville, TX",Micropolitan Statistical Area,"67,861","61,758","6,103",9.9
26700,"Huron, SD",Micropolitan Statistical Area,"17,398","17,023",375,2.2
26740,"Hutchinson, KS",Micropolitan Statistical Area,"64,511","64,790",-279,-0.4
26780,"Hutchinson, MN",Micropolitan Statistical Area,"36,651","34,898","1,753",5.0
26860,"Indiana, PA",Micropolitan Statistical Area,"88,880","89,605",-725,-0.8
26940,"Indianola, MS",Micropolitan Statistical Area,"29,450","34,369","-4,919",-14.3
27020,"Iron Mountain, MI-WI",Micropolitan Statistical Area,"30,591","32,560","-1,969",-6.0
27220,"Jackson, WY-ID",Micropolitan Statistical Area,"31,464","24,250","7,214",29.7
27300,"Jacksonville, IL",Micropolitan Statistical Area,"40,902","42,153","-1,251",-3.0
27380,"Jacksonville, TX",Micropolitan Statistical Area,"50,845","46,659","4,186",9.0
27420,"Jamestown, ND",Micropolitan Statistical Area,"21,100","21,908",-808,-3.7
27460,"Jamestown-Dunkirk-Fredonia, NY",Micropolitan Statistical Area,"134,905","139,750","-4,845",-3.5
27540,"Jasper, IN",Micropolitan Statistical Area,"54,734","52,511","2,223",4.2
27660,"Jennings, LA",Micropolitan Statistical Area,"31,594","31,435",159,0.5
27700,"Jesup, GA",Micropolitan Statistical Area,"30,099","26,565","3,534",13.3
27940,"Juneau, AK",Micropolitan Statistical Area,"31,275","30,711",564,1.8
27980,"Kahului-Wailuku, HI",Micropolitan Statistical Area,"154,834","128,094","26,740",20.9
28060,"Kalispell, MT",Micropolitan Statistical Area,"90,928","74,471","16,457",22.1
28180,"Kapaa, HI",Micropolitan Statistical Area,"67,091","58,463","8,628",14.8
28260,"Kearney, NE",Micropolitan Statistical Area,"52,591","49,141","3,450",7.0
28300,"Keene, NH",Micropolitan Statistical Area,"77,117","73,825","3,292",4.5
28340,"Kendallville, IN",Micropolitan Statistical Area,"47,536","46,275","1,261",2.7
28380,"Kennett, MO",Micropolitan Statistical Area,"31,953","33,155","-1,202",-3.6
28500,"Kerrville, TX",Micropolitan Statistical Area,"49,625","43,653","5,972",13.7
28540,"Ketchikan, AK",Micropolitan Statistical Area,"13,477","14,070",-593,-4.2
28580,"Key West, FL",Micropolitan Statistical Area,"73,090","79,589","-6,499",-8.2
28620,"Kill Devil Hills, NC",Micropolitan Statistical Area,"33,920","29,967","3,953",13.2
28780,"Kingsville, TX",Micropolitan Statistical Area,"32,477","31,963",514,1.6
28820,"Kinston, NC",Micropolitan Statistical Area,"59,495","59,648",-153,-0.3
28860,"Kirksville, MO",Micropolitan Statistical Area,"30,038","29,147",891,3.1
28900,"Klamath Falls, OR",Micropolitan Statistical Area,"66,380","63,775","2,605",4.1
28980,"Kodiak, AK",Micropolitan Statistical Area,"13,592","13,913",-321,-2.3
29060,"Laconia, NH",Micropolitan Statistical Area,"60,088","56,325","3,763",6.7
29220,"La Follette, TN",Micropolitan Statistical Area,"40,716","39,854",862,2.2
29260,"La Grande, OR",Micropolitan Statistical Area,"25,748","24,530","1,218",5.0
