Table with row headers in column A and column headers in rows 6 through 973. Leading dots indicate subparts.,,,,,,
CBSA Report Chapter 2 Data,,,,,,
,,,,,,
"CBSA
Code",Geographic area,Legal/statistical area description,Population,,"Change, 2000 to 2010",
,,,2010 Census,Census 2000,Number,Percent
,United States,,"308,745,538","281,421,906","27,323,632",9.7
,...Inside core based statistical area,,"289,261,315","262,290,227","26,971,088",10.3
,…...In metropolitan statistical area,,"258,317,763","233,069,827","25,247,936",10.8
10180,"Abilene, TX",Metropolitan Statistical Area,"165,252","160,245","5,007",3.1
10420,"Akron, OH",Metropolitan Statistical Area,"703,200","694,960","8,240",1.2
10500,"Albany, GA",Metropolitan Statistical Area,"157,308","157,833",-525,-0.3
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,"870,716","825,875","44,841",5.4
10740,"Albuquerque, NM",Metropolitan Statistical Area,"887,077","729,649","157,428",21.6
10780,"Alexandria, LA",Metropolitan Statistical Area,"153,922","145,035","8,887",6.1
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,"821,173","740,395","80,778",10.9
11020,"Altoona, PA",Metropolitan Statistical Area,"127,089","129,144","-2,055",-1.6
