Table with row headers in column A and column headers in rows 4 through 974. Leading dots indicate subparts.,,,,,,,,,,
CBSA Report Chapter 3 Data,,,,,,,,,,
,,,,,,,,,,
"CBSA
Code",Geographic area,Legal/statistical area description,Population,,"Land area in
square miles, 2010",Population density1,,,,
,,,,,,Overall,,Population weighted,,
,,,2000,2010,,2000,2010,2000,2010,"Change, 2000 to 2010"
49460,"Yankton, SD",Micropolitan Statistical Area,"21,652","22,438",521.2,41.5,43.1,"1,048.6","1,056.9",8.4
49540,"Yazoo City, MS",Micropolitan Statistical Area,"28,149","28,065",922.9,30.5,30.4,567.0,511.2,-55.9
49780,"Zanesville, OH",Micropolitan Statistical Area,"84,585","86,074",664.6,127.3,129.5,879.2,827.6,-51.5
,...Outside core based statistical area,,"19,131,679","19,484,223","1,881,977.0",10.2,10.4,149.6,152.1,2.6
,,,,,,,,,,
,Puerto Rico,,"3,808,610","3,725,789","3,423.8","1,112.4","1,088.2","5,566.9","4,752.6",-814.3
,...Inside core based statistical area,,"3,780,126","3,698,513","3,278.4","1,153.0","1,128.1","5,607.0","4,786.0",-821.0
,…...In metropolitan statistical area,,"3,617,954","3,534,375","2,872.2","1,259.6","1,230.5","5,891.0","5,032.6",-858.5
10380,"Aguadilla-Isabela-San Sebastián, PR",Metropolitan Statistical Area,"312,602","306,292",358.5,872.0,854.4,"2,014.5","1,692.0",-322.5
21940,"Fajardo, PR",Metropolitan Statistical Area,"78,533","70,692",84.7,927.1,834.5,"2,835.4","2,523.4",-312.0
25020,"Guayama, PR",Metropolitan Statistical Area,"83,570","84,214",126.7,659.6,664.7,"2,598.3","2,510.8",-87.5
32420,"Mayagüez, PR",Metropolitan Statistical Area,"115,048","106,330",89.0,"1,292.8","1,194.9","5,538.0","4,601.6",-936.4
38660,"Ponce, PR",Metropolitan Statistical Area,"264,919","243,147",210.7,"1,257.5","1,154.1","5,806.8","4,299.3","-1,507.5"
41900,"San Germán-Cabo Rojo, PR",Metropolitan Statistical Area,"136,212","137,462",220.7,617.3,623.0,"1,649.5","1,525.3",-124.2
